gaan;1;ga;gaat;gaat;gaan;gaan;gaan;ben gegaan;bent gegaan;is gegaan;zijn gegaan;zijn gegaan;zijn gegaan;ging;ging;ging;gingen;gingen;gingen;zal gaan;zult gaan;zal gaan;zullen gaan;zullen gaan;zullen gaan;zou gaan;zou gaan;zou gaan;zouden gaan;zouden gaan;zouden gaan;ga;ga;ga;ga;ga;ga;was gegaan;was gegaan;was gegaan;waren gegaan;waren gegaan;waren gegaan;zal gegaan zijn;zal gegaan zijn;zal gegaan zijn;zullen gegaan zijn;zullen gegaan zijn;zullen gegaan zijn;zou gegaan zijn;zou gegaan zijn;zou gegaan zijn;zouden gegaan zijn;zouden gegaan zijn;zouden gegaan zijn;ga;gaat;
geven;1;geef;geeft;geeft;geven;geven;geven;heb gegeven;hebt gegeven;heeft gegeven;hebben gegeven;hebben gegeven;hebben gegeven;gaf;gaf;gaf;gaven;gaven;gaven;zal geven;zult geven;zal geven;zullen geven;zullen geven;zullen geven;zou geven;zou geven;zou geven;zouden geven;zouden geven;zouden geven;geve;geve;geve;geve;geve;geve;had gegeven;had gegeven;had gegeven;hadden gegeven;hadden gegeven;hadden gegeven;zal gegeven hebben;zal gegeven hebben;zal gegeven hebben;zullen gegeven hebben;zullen gegeven hebben;zullen gegeven hebben;zou gegeven hebben;zou gegeven hebben;zou gegeven hebben;zouden gegeven hebben;zouden gegeven hebben;zouden gegeven hebben;geef;geeft;
grijpen;1;grijp;grijpt;grijpt;grijpen;grijpen;grijpen;heb gegrepen;hebt gegrepen;heeft gegrepen;hebben gegrepen;hebben gegrepen;hebben gegrepen;greep;greep;greep;grepen;grepen;grepen;zal grijpen;zult grijpen;zal grijpen;zullen grijpen;zullen grijpen;zullen grijpen;zou grijpen;zou grijpen;zou grijpen;zouden grijpen;zouden grijpen;zouden grijpen;grijpe;grijpe;grijpe;grijpe;grijpe;grijpe;had gegrepen;had gegrepen;had gegrepen;hadden gegrepen;hadden gegrepen;hadden gegrepen;zal gegrepen hebben;zal gegrepen hebben;zal gegrepen hebben;zullen gegrepen hebben;zullen gegrepen hebben;zullen gegrepen hebben;zou gegrepen hebben;zou gegrepen hebben;zou gegrepen hebben;zouden gegrepen hebben;zouden gegrepen hebben;zouden gegrepen hebben;grijp;grijpt;
halen;1;haal;haalt;haalt;halen;halen;halen;heb gehaald;hebt gehaald;heeft gehaald;hebben gehaald;hebben gehaald;hebben gehaald;haalde;haalde;haalde;haalden;haalden;haalden;zal halen;zult halen;zal halen;zullen halen;zullen halen;zullen halen;zou halen;zou halen;zou halen;zouden halen;zouden halen;zouden halen;hale;hale;hale;hale;hale;hale;had gehaald;had gehaald;had gehaald;hadden gehaald;hadden gehaald;hadden gehaald;zal gehaald hebben;zal gehaald hebben;zal gehaald hebben;zullen gehaald hebben;zullen gehaald hebben;zullen gehaald hebben;zou gehaald hebben;zou gehaald hebben;zou gehaald hebben;zouden gehaald hebben;zouden gehaald hebben;zouden gehaald hebben;haal;haalt;
hebben;1;heb;hebt;heeft;hebben;hebben;hebben;heb gehad;hebt gehad;heeft gehad;hebben gehad;hebben gehad;hebben gehad;had;had;had;hadden;hadden;hadden;zal hebben;zult hebben;zal hebben;zullen hebben;zullen hebben;zullen hebben;zou hebben;zou hebben;zou hebben;zouden hebben;zouden hebben;zouden hebben;hebbe;hebbe;hebbe;hebbe;hebbe;hebbe;had gehad;had gehad;had gehad;hadden gehad;hadden gehad;hadden gehad;zal gehad hebben;zal gehad hebben;zal gehad hebben;zullen gehad hebben;zullen gehad hebben;zullen gehad hebben;zou gehad hebben;zou gehad hebben;zou gehad hebben;zouden gehad hebben;zouden gehad hebben;zouden gehad hebben;heb;hebt;
helpen;1;help;helpt;helpt;helpen;helpen;helpen;heb geholpen;hebt geholpen;heeft geholpen;hebben geholpen;hebben geholpen;hebben geholpen;hielp;hielp;hielp;hielpen;hielpen;hielpen;zal helpen;zult helpen;zal helpen;zullen helpen;zullen helpen;zullen helpen;zou helpen;zou helpen;zou helpen;zouden helpen;zouden helpen;zouden helpen;helpe;helpe;helpe;helpe;helpe;helpe;had geholpen;had geholpen;had geholpen;hadden geholpen;hadden geholpen;hadden geholpen;zal geholpen hebben;zal geholpen hebben;zal geholpen hebben;zullen geholpen hebben;zullen geholpen hebben;zullen geholpen hebben;zou geholpen hebben;zou geholpen hebben;zou geholpen hebben;zouden geholpen hebben;zouden geholpen hebben;zouden geholpen hebben;help;helpt;
hopen;1;hoop;hoopt;hoopt;hopen;hopen;hopen;heb gehoopt;hebt gehoopt;heeft gehoopt;hebben gehoopt;hebben gehoopt;hebben gehoopt;hoopte;hoopte;hoopte;hoopten;hoopten;hoopten;zal hopen;zult hopen;zal hopen;zullen hopen;zullen hopen;zullen hopen;zou hopen;zou hopen;zou hopen;zouden hopen;zouden hopen;zouden hopen;hope;hope;hope;hope;hope;hope;had gehoopt;had gehoopt;had gehoopt;hadden gehoopt;hadden gehoopt;hadden gehoopt;zal gehoopt hebben;zal gehoopt hebben;zal gehoopt hebben;zullen gehoopt hebben;zullen gehoopt hebben;zullen gehoopt hebben;zou gehoopt hebben;zou gehoopt hebben;zou gehoopt hebben;zouden gehoopt hebben;zouden gehoopt hebben;zouden gehoopt hebben;hoop;hoopt;
horen;1;hoor;hoort;hoort;horen;horen;horen;heb gehoord;hebt gehoord;heeft gehoord;hebben gehoord;hebben gehoord;hebben gehoord;hoorde;hoorde;hoorde;hoorden;hoorden;hoorden;zal horen;zult horen;zal horen;zullen horen;zullen horen;zullen horen;zou horen;zou horen;zou horen;zouden horen;zouden horen;zouden horen;hore;hore;hore;hore;hore;hore;had gehoord;had gehoord;had gehoord;hadden gehoord;hadden gehoord;hadden gehoord;zal gehoord hebben;zal gehoord hebben;zal gehoord hebben;zullen gehoord hebben;zullen gehoord hebben;zullen gehoord hebben;zou gehoord hebben;zou gehoord hebben;zou gehoord hebben;zouden gehoord hebben;zouden gehoord hebben;zouden gehoord hebben;hoor;hoort;
kennen;1;ken;kent;kent;kennen;kennen;kennen;heb gekend;hebt gekend;heeft gekend;hebben gekend;hebben gekend;hebben gekend;kende;kende;kende;kenden;kenden;kenden;zal kennen;zult kennen;zal kennen;zullen kennen;zullen kennen;zullen kennen;zou kennen;zou kennen;zou kennen;zouden kennen;zouden kennen;zouden kennen;kenne;kenne;kenne;kenne;kenne;kenne;had gekend;had gekend;had gekend;hadden gekend;hadden gekend;hadden gekend;zal gekend hebben;zal gekend hebben;zal gekend hebben;zullen gekend hebben;zullen gekend hebben;zullen gekend hebben;zou gekend hebben;zou gekend hebben;zou gekend hebben;zouden gekend hebben;zouden gekend hebben;zouden gekend hebben;ken;kent;
knippen;1;knip;knipt;knipt;knippen;knippen;knippen;heb geknipt;hebt geknipt;heeft geknipt;hebben geknipt;hebben geknipt;hebben geknipt;knipte;knipte;knipte;knipten;knipten;knipten;zal knippen;zult knippen;zal knippen;zullen knippen;zullen knippen;zullen knippen;zou knippen;zou knippen;zou knippen;zouden knippen;zouden knippen;zouden knippen;knippe;knippe;knippe;knippe;knippe;knippe;had geknipt;had geknipt;had geknipt;hadden geknipt;hadden geknipt;hadden geknipt;zal geknipt hebben;zal geknipt hebben;zal geknipt hebben;zullen geknipt hebben;zullen geknipt hebben;zullen geknipt hebben;zou geknipt hebben;zou geknipt hebben;zou geknipt hebben;zouden geknipt hebben;zouden geknipt hebben;zouden geknipt hebben;knip;knipt;
komen;1;kom;komt;komt;komen;komen;komen;ben gekomen;bent gekomen;is gekomen;zijn gekomen;zijn gekomen;zijn gekomen;kwam;kwam;kwam;kwamen;kwamen;kwamen;zal komen;zult komen;zal komen;zullen komen;zullen komen;zullen komen;zou komen;zou komen;zou komen;zouden komen;zouden komen;zouden komen;kome;kome;kome;kome;kome;kome;was gekomen;was gekomen;was gekomen;waren gekomen;waren gekomen;waren gekomen;zal gekomen zijn;zal gekomen zijn;zal gekomen zijn;zullen gekomen zijn;zullen gekomen zijn;zullen gekomen zijn;zou gekomen zijn;zou gekomen zijn;zou gekomen zijn;zouden gekomen zijn;zouden gekomen zijn;zouden gekomen zijn;kom;komt;
kopen;1;koop;koopt;koopt;kopen;kopen;kopen;heb gekocht;hebt gekocht;heeft gekocht;hebben gekocht;hebben gekocht;hebben gekocht;kocht;kocht;kocht;kochten;kochten;kochten;zal kopen;zult kopen;zal kopen;zullen kopen;zullen kopen;zullen kopen;zou kopen;zou kopen;zou kopen;zouden kopen;zouden kopen;zouden kopen;kope;kope;kope;kope;kope;kope;had gekocht;had gekocht;had gekocht;hadden gekocht;hadden gekocht;hadden gekocht;zal gekocht hebben;zal gekocht hebben;zal gekocht hebben;zullen gekocht hebben;zullen gekocht hebben;zullen gekocht hebben;zou gekocht hebben;zou gekocht hebben;zou gekocht hebben;zouden gekocht hebben;zouden gekocht hebben;zouden gekocht hebben;koop;koopt;
krijgen;1;krijg;krijgt;krijgt;krijgen;krijgen;krijgen;heb gekregen;hebt gekregen;heeft gekregen;hebben gekregen;hebben gekregen;hebben gekregen;kreeg;kreeg;kreeg;kregen;kregen;kregen;zal krijgen;zult krijgen;zal krijgen;zullen krijgen;zullen krijgen;zullen krijgen;zou krijgen;zou krijgen;zou krijgen;zouden krijgen;zouden krijgen;zouden krijgen;krijge;krijge;krijge;krijge;krijge;krijge;had gekregen;had gekregen;had gekregen;hadden gekregen;hadden gekregen;hadden gekregen;zal gekregen hebben;zal gekregen hebben;zal gekregen hebben;zullen gekregen hebben;zullen gekregen hebben;zullen gekregen hebben;zou gekregen hebben;zou gekregen hebben;zou gekregen hebben;zouden gekregen hebben;zouden gekregen hebben;zouden gekregen hebben;krijg;krijgt;
lachen;1;lach;lacht;lacht;lachen;lachen;lachen;heb gelachen;hebt gelachen;heeft gelachen;hebben gelachen;hebben gelachen;hebben gelachen;lachte;lachte;lachte;lachten;lachten;lachten;zal lachen;zult lachen;zal lachen;zullen lachen;zullen lachen;zullen lachen;zou lachen;zou lachen;zou lachen;zouden lachen;zouden lachen;zouden lachen;lache;lache;lache;lache;lache;lache;had gelachen;had gelachen;had gelachen;hadden gelachen;hadden gelachen;hadden gelachen;zal gelachen hebben;zal gelachen hebben;zal gelachen hebben;zullen gelachen hebben;zullen gelachen hebben;zullen gelachen hebben;zou gelachen hebben;zou gelachen hebben;zou gelachen hebben;zouden gelachen hebben;zouden gelachen hebben;zouden gelachen hebben;lach;lacht;
laten;1;laat;laat;laat;laten;laten;laten;heb gelaten;hebt gelaten;heeft gelaten;hebben gelaten;hebben gelaten;hebben gelaten;liet;liet;liet;lieten;lieten;lieten;zal laten;zult laten;zal laten;zullen laten;zullen laten;zullen laten;zou laten;zou laten;zou laten;zouden laten;zouden laten;zouden laten;late;late;late;late;late;late;had gelaten;had gelaten;had gelaten;hadden gelaten;hadden gelaten;hadden gelaten;zal gelaten hebben;zal gelaten hebben;zal gelaten hebben;zullen gelaten hebben;zullen gelaten hebben;zullen gelaten hebben;zou gelaten hebben;zou gelaten hebben;zou gelaten hebben;zouden gelaten hebben;zouden gelaten hebben;zouden gelaten hebben;laat;laat;
leiden;1;leid;leidt;leidt;leiden;leiden;leiden;heb geleid;hebt geleid;heeft geleid;hebben geleid;hebben geleid;hebben geleid;leidde;leidde;leidde;leidden;leidden;leidden;zal leiden;zult leiden;zal leiden;zullen leiden;zullen leiden;zullen leiden;zou leiden;zou leiden;zou leiden;zouden leiden;zouden leiden;zouden leiden;leide;leide;leide;leide;leide;leide;had geleid;had geleid;had geleid;hadden geleid;hadden geleid;hadden geleid;zal geleid hebben;zal geleid hebben;zal geleid hebben;zullen geleid hebben;zullen geleid hebben;zullen geleid hebben;zou geleid hebben;zou geleid hebben;zou geleid hebben;zouden geleid hebben;zouden geleid hebben;zouden geleid hebben;leid;leidt;
lezen;1;lees;leest;leest;lezen;lezen;lezen;heb gelezen;hebt gelezen;heeft gelezen;hebben gelezen;hebben gelezen;hebben gelezen;las;las;las;lazen;lazen;lazen;zal lezen;zult lezen;zal lezen;zullen lezen;zullen lezen;zullen lezen;zou lezen;zou lezen;zou lezen;zouden lezen;zouden lezen;zouden lezen;leze;leze;leze;leze;leze;leze;had gelezen;had gelezen;had gelezen;hadden gelezen;hadden gelezen;hadden gelezen;zal gelezen hebben;zal gelezen hebben;zal gelezen hebben;zullen gelezen hebben;zullen gelezen hebben;zullen gelezen hebben;zou gelezen hebben;zou gelezen hebben;zou gelezen hebben;zouden gelezen hebben;zouden gelezen hebben;zouden gelezen hebben;lees;leest;
liggen;1;lig;ligt;ligt;liggen;liggen;liggen;heb gelegen;hebt gelegen;heeft gelegen;hebben gelegen;hebben gelegen;hebben gelegen;lag;lag;lag;lagen;lagen;lagen;zal liggen;zult liggen;zal liggen;zullen liggen;zullen liggen;zullen liggen;zou liggen;zou liggen;zou liggen;zouden liggen;zouden liggen;zouden liggen;ligge;ligge;ligge;ligge;ligge;ligge;had gelegen;had gelegen;had gelegen;hadden gelegen;hadden gelegen;hadden gelegen;zal gelegen hebben;zal gelegen hebben;zal gelegen hebben;zullen gelegen hebben;zullen gelegen hebben;zullen gelegen hebben;zou gelegen hebben;zou gelegen hebben;zou gelegen hebben;zouden gelegen hebben;zouden gelegen hebben;zouden gelegen hebben;lig;ligt;
lijden;1;lijd;lijdt;lijdt;lijden;lijden;lijden;heb geleden;hebt geleden;heeft geleden;hebben geleden;hebben geleden;hebben geleden;leed;leed;leed;leden;leden;leden;zal lijden;zult lijden;zal lijden;zullen lijden;zullen lijden;zullen lijden;zou lijden;zou lijden;zou lijden;zouden lijden;zouden lijden;zouden lijden;lijde;lijde;lijde;lijde;lijde;lijde;had geleden;had geleden;had geleden;hadden geleden;hadden geleden;hadden geleden;zal geleden hebben;zal geleden hebben;zal geleden hebben;zullen geleden hebben;zullen geleden hebben;zullen geleden hebben;zou geleden hebben;zou geleden hebben;zou geleden hebben;zouden geleden hebben;zouden geleden hebben;zouden geleden hebben;lijd;lijdt;
lopen;1;loop;loopt;loopt;lopen;lopen;lopen;heb gelopen;hebt gelopen;heeft gelopen;hebben gelopen;hebben gelopen;hebben gelopen;liep;liep;liep;liepen;liepen;liepen;zal lopen;zult lopen;zal lopen;zullen lopen;zullen lopen;zullen lopen;zou lopen;zou lopen;zou lopen;zouden lopen;zouden lopen;zouden lopen;lope;lope;lope;lope;lope;lope;had gelopen;had gelopen;had gelopen;hadden gelopen;hadden gelopen;hadden gelopen;zal gelopen hebben;zal gelopen hebben;zal gelopen hebben;zullen gelopen hebben;zullen gelopen hebben;zullen gelopen hebben;zou gelopen hebben;zou gelopen hebben;zou gelopen hebben;zouden gelopen hebben;zouden gelopen hebben;zouden gelopen hebben;loop;loopt;
maken;1;maak;maakt;maakt;maken;maken;maken;heb gemaakt;hebt gemaakt;heeft gemaakt;hebben gemaakt;hebben gemaakt;hebben gemaakt;maakte;maakte;maakte;maakten;maakten;maakten;zal maken;zult maken;zal maken;zullen maken;zullen maken;zullen maken;zou maken;zou maken;zou maken;zouden maken;zouden maken;zouden maken;make;make;make;make;make;make;had gemaakt;had gemaakt;had gemaakt;hadden gemaakt;hadden gemaakt;hadden gemaakt;zal gemaakt hebben;zal gemaakt hebben;zal gemaakt hebben;zullen gemaakt hebben;zullen gemaakt hebben;zullen gemaakt hebben;zou gemaakt hebben;zou gemaakt hebben;zou gemaakt hebben;zouden gemaakt hebben;zouden gemaakt hebben;zouden gemaakt hebben;maak;maakt;
moeten;1;moet;moet;moet;moeten;moeten;moeten;heb gemoeten;hebt gemoeten;heeft gemoeten;hebben gemoeten;hebben gemoeten;hebben gemoeten;moest;moest;moest;moesten;moesten;moesten;zal moeten;zult moeten;zal moeten;zullen moeten;zullen moeten;zullen moeten;zou moeten;zou moeten;zou moeten;zouden moeten;zouden moeten;zouden moeten;moete;moete;moete;moete;moete;moete;had gemoeten;had gemoeten;had gemoeten;hadden gemoeten;hadden gemoeten;hadden gemoeten;zal gemoeten hebben;zal gemoeten hebben;zal gemoeten hebben;zullen gemoeten hebben;zullen gemoeten hebben;zullen gemoeten hebben;zou gemoeten hebben;zou gemoeten hebben;zou gemoeten hebben;zouden gemoeten hebben;zouden gemoeten hebben;zouden gemoeten hebben;moet;moet;
mogen;1;mag;mag;mag;mogen;mogen;mogen;heb gemogen;hebt gemogen;heeft gemogen;hebben gemogen;hebben gemogen;hebben gemogen;mocht;mocht;mocht;mochten;mochten;mochten;zal mogen;zult mogen;zal mogen;zullen mogen;zullen mogen;zullen mogen;zou mogen;zou mogen;zou mogen;zouden mogen;zouden mogen;zouden mogen;moge;moge;moge;moge;moge;moge;had gemogen;had gemogen;had gemogen;hadden gemogen;hadden gemogen;hadden gemogen;zal gemogen hebben;zal gemogen hebben;zal gemogen hebben;zullen gemogen hebben;zullen gemogen hebben;zullen gemogen hebben;zou gemogen hebben;zou gemogen hebben;zou gemogen hebben;zouden gemogen hebben;zouden gemogen hebben;zouden gemogen hebben;-;-;
nemen;1;neem;neemt;neemt;nemen;nemen;nemen;heb genomen;hebt genomen;heeft genomen;hebben genomen;hebben genomen;hebben genomen;nam;nam;nam;namen;namen;namen;zal nemen;zult nemen;zal nemen;zullen nemen;zullen nemen;zullen nemen;zou nemen;zou nemen;zou nemen;zouden nemen;zouden nemen;zouden nemen;neme;neme;neme;neme;neme;neme;had genomen;had genomen;had genomen;hadden genomen;hadden genomen;hadden genomen;zal genomen hebben;zal genomen hebben;zal genomen hebben;zullen genomen hebben;zullen genomen hebben;zullen genomen hebben;zou genomen hebben;zou genomen hebben;zou genomen hebben;zouden genomen hebben;zouden genomen hebben;zouden genomen hebben;neem;neemt;
optillen;2;
praten;1;praat;praat;praat;praten;praten;praten;heb gepraat;hebt gepraat;heeft gepraat;hebben gepraat;hebben gepraat;hebben gepraat;praatte;praatte;praatte;praatten;praatten;praatten;zal praten;zult praten;zal praten;zullen praten;zullen praten;zullen praten;zou praten;zou praten;zou praten;zouden praten;zouden praten;zouden praten;prate;prate;prate;prate;prate;prate;had gepraat;had gepraat;had gepraat;hadden gepraat;hadden gepraat;hadden gepraat;zal gepraat hebben;zal gepraat hebben;zal gepraat hebben;zullen gepraat hebben;zullen gepraat hebben;zullen gepraat hebben;zou gepraat hebben;zou gepraat hebben;zou gepraat hebben;zouden gepraat hebben;zouden gepraat hebben;zouden gepraat hebben;praat;praat;
rijden;1;rijd rij;rijdt;rijdt;rijden;rijden;rijden;heb gereden;hebt gereden;heeft gereden;hebben gereden;hebben gereden;hebben gereden;reed;reed;reed;reden;reden;reden;zal rijden;zult rijden;zal rijden;zullen rijden;zullen rijden;zullen rijden;zou rijden;zou rijden;zou rijden;zouden rijden;zouden rijden;zouden rijden;rijde;rijde;rijde;rijde;rijde;rijde;had gereden;had gereden;had gereden;hadden gereden;hadden gereden;hadden gereden;zal gereden hebben;zal gereden hebben;zal gereden hebben;zullen gereden hebben;zullen gereden hebben;zullen gereden hebben;zou gereden hebben;zou gereden hebben;zou gereden hebben;zouden gereden hebben;zouden gereden hebben;zouden gereden hebben;rijd rij;rijdt;
schrijven;1;schrijf;schrijft;schrijft;schrijven;schrijven;schrijven;heb geschreven;hebt geschreven;heeft geschreven;hebben geschreven;hebben geschreven;hebben geschreven;schreef;schreef;schreef;schreven;schreven;schreven;zal schrijven;zult schrijven;zal schrijven;zullen schrijven;zullen schrijven;zullen schrijven;zou schrijven;zou schrijven;zou schrijven;zouden schrijven;zouden schrijven;zouden schrijven;schrijve;schrijve;schrijve;schrijve;schrijve;schrijve;had geschreven;had geschreven;had geschreven;hadden geschreven;hadden geschreven;hadden geschreven;zal geschreven hebben;zal geschreven hebben;zal geschreven hebben;zullen geschreven hebben;zullen geschreven hebben;zullen geschreven hebben;zou geschreven hebben;zou geschreven hebben;zou geschreven hebben;zouden geschreven hebben;zouden geschreven hebben;zouden geschreven hebben;schrijf;schrijft;
