Number;Dutch;in English
622;stijgen;rise
623;slecht;bad
624;klap;blow
625;olie;oil
626;bloed;blood
627;aanraken;touch
628;groeide;grew
629;procent;cent
630;mengen;mix
631;team;team
632;draad;wire
633;kosten;cost
634;verloren;lost
635;bruin;brown
636;dragen;wear
637;tuin;garden
638;gelijk;equal
639;verzonden;sent
640;kiezen;choose
641;viel;fell
642;passen;fit
643;stromen;flow
644;eerlijk;fair
645;bank;bank
646;verzamelen;collect
647;besparen;save
648;controle;control
649;decimaal;decimal
650;oor;ear
651;anders;else
652;heel;quite
653;brak;broke
654;geval;case
655;midden;middle
656;doden;kill
657;zoon;son
658;meer;lake
659;momenteel;moment
660;schaal;scale
661;luid;loud
662;voorjaar;spring
663;waarnemen;observe
664;kind;child
665;straight;straight
666;medeklinker;consonant
667;natie;nation
668;woordenboek;dictionary
669;melk;milk
670;snelheid;speed
671;methode;method
672;orgel;organ
673;betalen;pay
674;leeftijd;age
675;sectie;section
676;kleding;dress
677;wolk;cloud
678;verrassing;surprise
679;rustig;quiet
680;steen;stone
681;minuscuul;tiny
682;klimmen;climb
683;koele;cool
684;ontwerp;design
685;slechte;poor
686;veel;lot
687;experiment;experiment
688;onderzijde;bottom
689;sleutel;key
690;ijzer;iron
691;enkelvoudige;single
692;stok;stick
693;flat;flat
694;twintig;twenty
695;huid;skin
696;glimlach;smile
697;vouw;crease
698;gat;hole
699;springen;jump
700;kindje;baby
701;acht;eight
702;dorp;village
703;ontmoeten;meet
704;wortel;root
705;kopen;buy
706;verhogen;raise
707;op te lossen;solve
708;metalen;metal
709;of;whether
710;duw;push
711;zeven;seven
712;paragraaf;paragraph
713;derde;third
714;zal;shall
715;gehouden;held
716;haar;hair
717;beschrijven;describe
718;kok;cook
719;vloer;floor
720;ofwel;either
721;resultaat;result
722;verbranden;burn
723;hill;hill
724;veilig;safe
725;kat;cat
726;eeuw;century
727;overwegen;consider
728;soort;type
729;wet;law
730;beetje;bit
731;kust;coast
732;kopie;copy
733;zinsnede;phrase
734;stil;silent
735;hoog;tall
736;zand;sand
737;bodem;soil
738;rol;roll
739;temperatuur;temperature
740;vinger;finger
741;industrie;industry
742;waarde;value
743;strijd;fight
744;leugen;lie
745;verslaan;beat
746;excite;excite
747;natuurlijke;natural
748;view;view
749;sense;sense
750;hoofdstad;capital
751;zal niet;won’t
752;stoel;chair
753;gevaar;danger
754;fruit;fruit
755;rijk;rich
756;dikke;thick
757;soldaat;soldier
758;proces;process
759;werken;operate
760;praktijk;practice
761;apart;separate
762;moeilijk;difficult
763;arts;doctor
764;aub;please
765;beschermen;protect
766;middag;noon
767;gewas;crop
768;moderne;modern
769;onderdeel;element
770;hit;hit
771;leerling;student
772;hoek;corner
773;partij;party
774;levering;supply
775;wiens;whose
776;lokaliseren;locate
777;kookplaten;ring
778;karakter;character
779;insecten;insect
780;gevangen;caught
781;periode;period
782;geven;indicate
783;radio In;radio
784;sprak;spoke
785;atoom;atom
786;menselijk;human
787;geschiedenis;history
788;werking;effect
789;elektrische;electric
790;verwachten;expect
791;bot;bone
792;spoor;rail
793;stel;imagine
794;bieden;provide
795;instemmen;agree
796;dus;thus
797;zachte;gentle
798;vrouw;woman
799;kapitein;captain
800;denk;guess
801;noodzakelijk;necessary
802;scherpe;sharp
803;vleugel;wing
804;creëren;create
805;buurman;neighbor
806;wassen;wash
807;vleermuis;bat
808;eerder;rather
809;menigte;crowd
810;maïs;corn
811;vergelijken;compare
812;gedicht;poem
813;koord;string
814;bell;bell
815;afhangen;depend
816;vlees;meat
817;wrijven;rub
818;buis;tube
819;beroemde;famous
820;deas;dollar
821;stroom;stream
822;angst;fear
823;zicht;sight
824;dun;thin
825;driehoek;triangle
826;planeet;planet
827;haast;hurry
828;chief;chief
829;kolonie;colony
830;klok;clock
831;de mijne;mine
832;stropdas;tie
833;voeren;enter
834;grote;major
835;vers;fresh
836;zoeken;search
837;sturen;send
838;geel;yellow
839;pistool;gun
840;toelaten;allow
841;afdrukken;print
842;dood;dead
843;plek;spot
844;woestijn;desert
845;pak;suit
846;huidige;current
847;lift;lift
848;gestegen;rose
849;aankomen;arrive
850;meester;master
851;spoor;track
852;ouder;parent
853;oever;shore
854;divisie;division
855;blad;sheet
856;stof;substance
857;gunst;favor
858;aansluiten;connect
859;post;post
860;besteden;spend
861;akkoord;chord
862;vet;fat
863;blij;glad
864;origineel;original
865;aandeel;share
866;station;station
867;dad;dad
868;brood;bread
869;rekenen;charge
870;behoorlijk;proper
871;bar;bar
872;aanbod;offer
873;segmenten;segment
874;slaaf;slave
875;eend;duck
876;onmiddellijke;instant
877;markt;market
878;graad;degree
879;bevolken;populate
880;kuiken;chick
881;lieve;dear
882;vijand;enemy
883;antwoorden;reply
884;drankje;drink
885;voorkomen;occur
886;ondersteuning;support
887;spraak;speech
888;natuur;nature
889;reeks;range
890;stoom;steam
891;beweging;motion
892;pad;path
893;vloeistof;liquid
894;aanmelden;log
895;betekende;meant
896;quotiënt;quotient
897;tanden;teeth
898;schelp;shell
899;nek;neck
900;zuurstof;oxygen
901;suiker;sugar
902;dood;death
903;vrij;pretty
904;vaardigheid;skill
905;vrouwen;women
906;seizoen;season
907;oplossing;solution
908;magneet;magnet
909;zilver;silver
910;dank;thank
911;tak;branch
912;wedstrijd;match
913;achtervoegsel;suffix
914;vooral;especially
915;vijg;fig
916;bang;afraid
917;reusachtig;huge
918;zus;sister
919;staal;steel
920;bespreken;discuss
921;vooruit;forward
922;gelijkaardige;similar
923;begeleiden;guide
924;ervaring;experience
925;partituur;score
926;appel;apple
927;gekocht;bought
928;geleid;led
929;toonhoogte;pitch
930;coat;coat
931;massa;mass
932;kaart;card
933;band;band
934;touw;rope
935;slip;slip
936;win;win
937;dromen;dream
938;avond;evening
939;voorwaarde;condition
940;voer;feed
941;gereedschap;tool
942;totaal;total
943;elementaire;basic
944;geur;smell
945;dal;valley
946;noch;nor
947;dubbel;double
948;zitje;seat
949;blijven;continue
950;blokkeren;block
951;grafiek;chart
952;hoed;hat
953;verkopen;sell
954;succes;success
955;bedrijf;company
956;aftrekken;subtract
957;evenement;event
958;bijzonder;particular
959;deal;deal
960;zwemmen;swim
961;termijn;term
962;tegengesteld;opposite
963;vrouw;wife
964;schoen;shoe
965;schouder;shoulder
966;spreiding;spread
967;regelen;arrange
968;kamp;camp
969;uitvinden;invent
970;katoen;cotton
971;geboren;born
972;bepalen;determine
973;quart;quart
974;negen;nine
975;vrachtwagen;truck
976;geluidsoverlast;noise
977;niveau;level
978;kans;chance
979;verzamelen;gather
980;winkel;shop
981;rekken;stretch
982;gooien;throw
983;glans;shine
984;pand;property
985;column;column
986;molecuul;molecule
987;selecteren;select
988;mis;wrong
989;grijs;gray
990;herhaal;repeat
991;vereisen;require
992;brede;broad
993;bereiden;prepare
994;zout;salt
995;neus;nose
996;meervoud;plural
997;woede;anger
998;vordering;claim
999;werelddeel;continent
